product_id,product_name,category_id,category_name,price,user_id,rating,clicking
8,iphone-14,7,dien-thoai,"32,000,000",6,5,20
9,laptop-dell-g3,8,laptop,"21,000,000",6,2,5
10,asus10,9,may-tinh-ban,"15,000,000",6,2,4
11,op-lung-ip11,10,phu-kien,"32,000",6,5,23
12,hop-tuavit12,11,linh-kien,"120,000",6,,0
13,sh-150i13,12,xe-may,"132,000,000",6,,0
14,xe-dap-the-thao14,13,xe-dap,"3,200,000",6,,0
15,ao-thu-dong15,14,quan-ao,"250,000",6,,0
16,adidas-nmd16,15,giay-dep,"3,000,000",6,2.25,5
17,tui-xach-lv17,16,phu-kien-thoi-trang,"300,000",6,,0
18,so-do18,17,sach,"80,000",6,,0
19,doremon19,18,truyen,"12,000",6,,0
20,tu-lanh-lg20,19,tu-lanh,"8,000,000",6,,0
21,dieu-hoa-inveter21,20,dieu-hoa,"11,000,000",6,,0
22,may-giat-ngang22,21,may-giat,"6,000,000",6,,0
23,tu-go23,22,tu-ke-ban,"400,000",6,,0
24,chan-bong24,23,giuong-chan-nem,"600,000",6,,0
25,dao-thai25,24,dung-cu-nha-bep,"50,000",6,,0
26,iphone-13-pro-max26,7,dien-thoai,"28,000,000",6,2.5,8
27,laptop-asus-27,8,laptop,"21,000,000",6,2.25,6
28,msi28,9,may-tinh-ban,"18,000,000",6,2.5,8
29,tai-nghe-ip29,10,phu-kien,"150,000",6,3.5,12
30,o-cam-4-lo30,11,linh-kien,"120,000",6,,0
31,wave-rsx31,12,xe-may,"22,000,000",6,,0
32,xe-dap-the-thao32,13,xe-dap,"3,000,000",6,,0
33,quan-au33,14,quan-ao,"400,000",6,,0
34,jordan-air34,15,giay-dep,"400,000",6,3.25,10
35,tui-deo-cheo36,16,phu-kien-thoi-trang,"100,000",6,,0
36,mat-biec37,17,sach,"40,000",6,,0
37,conan38,18,truyen,"12,000",6,,0
38,tu-lanh-samsung39,19,tu-lanh,"10,000,000",6,,0
39,dieu-hoa-panasonic40,20,dieu-hoa,"7,000,000",6,,0
40,may-giat-tren41,21,may-giat,"5,000,000",6,,0
41,ban-trang-diem42,22,tu-ke-ban,"400,000",6,,0
42,goi-ngu43,23,giuong-chan-nem,"60,000",6,,0
43,keo-cat44,24,dung-cu-nha-bep,"30,000",6,,0
44,oppo-reno8,7,dien-thoai,"8,000,000",6,2.25,6
45,laptop-gaming-msi,8,laptop,"25,000,000",6,2,5
46,asus10,9,may-tinh-ban,"14,000,000",6,1.5,3
47,sac-du-phong,10,phu-kien,"350,000",6,3.5,12
48,may-khoan,11,linh-kien,"1,200,000",6,,0
49,air-blade,12,xe-may,"42,000,000",6,,0
50,xe-dap-x,13,xe-dap,"6,000,000",6,,0
51,quan-ao-tre-em,14,quan-ao,"150,000",6,,0
52,dep-cao-su,15,giay-dep,"40,000",6,1,2
53,that-lung-da,16,phu-kien-thoi-trang,"200,000",6,,0
54,co-gai-den-tu-hom-qua,17,sach,"30,000",6,,0
55,inuyasha,18,truyen,"17,000",6,,0
56,tu-lanh-2-canh,19,tu-lanh,"14,000,000",6,,0
57,dieu-hoa-quat,20,dieu-hoa,"2,000,000",6,,0
58,may-giat-ngang22,21,may-giat,"5,000,000",6,,0
59,ke-de-do,22,tu-ke-ban,"160,000",6,,0
60,nem-ga,23,giuong-chan-nem,"160,000",6,,0
61,bep-tu,24,dung-cu-nha-bep,"300,000",6,,0
62,vsmart,7,dien-thoai,"2,000,000",6,1,2
63,laptop-acer,8,laptop,"16,000,000",6,2.25,5
64,msi28,9,may-tinh-ban,"29,000,000",6,2,3
65,op-lung-samsung,10,phu-kien,"30,000",6,,0
66,oc-vit,11,linh-kien,"25,000",6,,0
67,wave-alpha,12,xe-may,"26,000,000",6,,0
68,xe-dap-the-thao32,13,xe-dap,"3,500,000",6,,0
69,ao-somi-nam-nu,14,quan-ao,"250,000",6,,0
70,dep-quai-hau,15,giay-dep,"250,000",6,1.25,4
71,mu-luoi-trai,16,phu-kien-thoi-trang,"80,000",6,,0
72,di-de-tro-ve,17,sach,"40,000",6,,0
73,naruto,18,truyen,"19,000",6,,0
74,tu-lanh-samsung39,19,tu-lanh,"12,000,000",6,,0
75,dieu-hoa-casper,20,dieu-hoa,"6,000,000",6,,0
76,may-giat-tren41,21,may-giat,"7,000,000",6,,0
