product_id,product_name,category_id,category_name,price,user_id,rating,clicking,score
8,iphone-14,7,dien-thoai,"32,000,000",6,5,10,5
9,laptop-dell-g3,8,laptop,"21,000,000",6,5,5,5
10,asus10,9,may-tinh-ban,"15,000,000",6,,4,4
11,op-lung-ip11,10,phu-kien,"32,000",6,4,20,4.5
12,hop-tuavit12,11,linh-kien,"120,000",6,,0,0.5
13,sh-150i13,12,xe-may,"132,000,000",6,,0,0.5
14,xe-dap-the-thao14,13,xe-dap,"3,200,000",6,,0,0.5
15,ao-thu-dong15,14,quan-ao,"250,000",6,,0,0.5
16,adidas-nmd16,15,giay-dep,"3,000,000",6,,5,3
17,tui-xach-lv17,16,phu-kien-thoi-trang,"300,000",6,,0,0.5
18,so-do18,17,sach,"80,000",6,,0,0.5
19,doremon19,18,truyen,"12,000",6,,0,0.5
20,tu-lanh-lg20,19,tu-lanh,"8,000,000",6,,0,0.5
21,dieu-hoa-inveter21,20,dieu-hoa,"11,000,000",6,,0,0.5
22,may-giat-ngang22,21,may-giat,"6,000,000",6,,0,0.5
23,tu-go23,22,tu-ke-ban,"400,000",6,,0,0.5
24,chan-bong24,23,giuong-chan-nem,"600,000",6,,0,0.5
25,dao-thai25,24,dung-cu-nha-bep,"50,000",6,,0,0.5
26,iphone-13-pro-max26,7,dien-thoai,"28,000,000",6,,8,4
27,laptop-asus-27,8,laptop,"21,000,000",6,,6,4
28,msi28,9,may-tinh-ban,"18,000,000",6,,8,4
29,tai-nghe-ip29,10,phu-kien,"150,000",6,4,12,4.8
30,o-cam-4-lo30,11,linh-kien,"120,000",6,,0,0.5
31,wave-rsx31,12,xe-may,"22,000,000",6,,0,0.5
32,xe-dap-the-thao32,13,xe-dap,"3,000,000",6,,0,0.5
33,quan-au33,14,quan-ao,"400,000",6,,0,0.5
34,jordan-air34,15,giay-dep,"400,000",6,5,10,5
35,tui-deo-cheo36,16,phu-kien-thoi-trang,"100,000",6,,0,0.5
36,mat-biec37,17,sach,"40,000",6,,0,0.5
37,conan38,18,truyen,"12,000",6,,0,0.5
38,tu-lanh-samsung39,19,tu-lanh,"10,000,000",6,,0,0.5
39,dieu-hoa-panasonic40,20,dieu-hoa,"7,000,000",6,,0,0.5
40,may-giat-tren41,21,may-giat,"5,000,000",6,,0,0.5
